U26	3.222398	1.765132
U25	2.233952	3.736036
U24	2.197595	3.246977
U23	3.467189	4.256095
U22	2.293634	1.740802
U21	3.296422	2.134078
U20	3.477267	3.540608
U19	3.589074	2.731912
U18	3.119637	2.361130
U17	3.034690	3.840054
U16	1.928466	3.373445
U15	3.213002	3.328230
U14	2.325480	3.490217
U13	3.130537	3.150922
U12	2.531577	1.750770
U11	3.138284	2.175404
U10	3.403542	1.739350
U9	2.343751	1.751751
U8	2.632827	3.194935
S9_out	1.384625	5.600000
S5	4.153875	5.600000
S11	1.384625	0.000000
S7	4.153875	0.000000
S10	0.000000	0.933333
S8	0.000000	2.800000
S6	0.000000	4.666667
S4	5.538500	0.700000
S3	5.538500	2.100000
S2	5.538500	3.500000
S1	5.538500	4.900000
